WinnerId,Year,Age,FullName,MovieName,Sex
1,1928,44,Emil Jannings,The Last Command,M
2,1929,41,Warner Baxter,In Old Arizona,M
3,1930,62,George Arliss,Disraeli,M
4,1931,53,Lionel Barrymore,A Free Soul,M
5,1932,47,Wallace Beery,The Champ,M
6,1933,35,Fredric March,Dr. Jekyll and Mr. Hyde,M
7,1934,34,Charles Laughton,The Private Life of Henry VIII,M
8,1935,34,Clark Gable,It Happened One Night,M
9,1936,49,Victor McLaglen,The Informer,M
10,1937,41,Paul Muni,The Story of Louis Pasteur,M
11,1938,37,Spencer Tracy,Captains Courageous,M
12,1939,38,Spencer Tracy,Boys Town,M
13,1940,34,Robert Donat,Goodbye Mr. Chips,M
14,1941,32,James Stewart,The Philadelphia Story,M
15,1942,40,Gary Cooper,Sergeant York,M
16,1943,43,James Cagney,Yankee Doodle Dandy,M
17,1944,48,Paul Lukas,Watch on the Rhine,M
18,1945,41,Bing Crosby,Going My Way,M
19,1946,39,Ray Milland,The Lost Weekend ,M
20,1947,49,Fredric March,The Best Years of Our Lives,M
21,1948,57,Ronald Colman,A Double Life,M
22,1949,41,Laurence Olivier,Hamlet,M
23,1950,38,Broderick Crawford,All the King's Men,M
24,1951,39,José Ferrer,Cyrano de Bergerac,M
25,1952,52,Humphrey Bogart,The African Queen,M
26,1953,51,Gary Cooper,High Noon,M
27,1954,35,William Holden,Stalag 17,M
28,1955,30,Marlon Brando,On the Waterfront,M
29,1956,39,Ernest Borgnine,Marty,M
30,1957,36,Yul Brynner,The King and I,M
31,1958,43,Alec Guinness,The Bridge on the River Kwai,M
32,1959,49,David Niven,Separate Tables,M
33,1960,36,Charlton Heston,Ben-Hur,M
34,1961,47,Burt Lancaster,Elmer Gantry,M
35,1962,31,Maximilian Schell,Judgment at Nuremberg,M
36,1963,47,Gregory Peck,To Kill a Mockingbird,M
37,1964,37,Sidney Poitier,Lilies of the Field,M
38,1965,57,Rex Harrison,My Fair Lady,M
39,1966,42,Lee Marvin,Cat Ballou,M
40,1967,45,Paul Scofield,A Man for All Seasons,M
41,1968,42,Rod Steiger,In the Heat of the Night,M
42,1969,45,Cliff Robertson,Charly,M
43,1970,62,John Wayne,True Grit,M
44,1971,43,George C. Scott,Patton,M
45,1972,42,Gene Hackman,The French Connection,M
46,1973,48,Marlon Brando,The Godfather,M
47,1974,49,Jack Lemmon,Save the Tiger,M
48,1975,56,Art Carney,Harry and Tonto,M
49,1976,38,Jack Nicholson,One Flew Over the Cuckoo's Nest,M
50,1977,60,Peter Finch,Network,M
51,1978,30,Richard Dreyfuss,The Goodbye Girl,M
52,1979,40,Jon Voight,Coming Home,M
53,1980,42,Dustin Hoffman,Kramer vs. Kramer,M
54,1981,37,Robert De Niro,Raging Bull,M
55,1982,76,Henry Fonda,On Golden Pond,M
56,1983,39,Ben Kingsley,Gandhi,M
57,1984,53,Robert Duvall,Tender Mercies,M
58,1985,45,F. Murray Abraham,Amadeus,M
59,1986,36,William Hurt,Kiss of the Spider Woman,M
60,1987,62,Paul Newman,The Color of Money,M
61,1988,43,Michael Douglas,Wall Street,M
62,1989,51,Dustin Hoffman,Rain Man,M
63,1990,32,Daniel Day-Lewis,My Left Foot,M
64,1991,42,Jeremy Irons,Reversal of Fortune,M
65,1992,54,Anthony Hopkins,The Silence of the Lambs,M
66,1993,52,Al Pacino,Scent of a Woman,M
67,1994,37,Tom Hanks,Philadelphia,M
68,1995,38,Tom Hanks,Forrest Gump,M
69,1996,32,Nicolas Cage,Leaving Las Vegas,M
70,1997,45,Geoffrey Rush,Shine,M
71,1998,60,Jack Nicholson,As Good as It Gets,M
72,1999,46,Roberto Benigni,Life Is Beautiful,M
73,2000,40,Kevin Spacey,American Beauty,M
74,2001,36,Russell Crowe,Gladiator,M
75,2002,47,Denzel Washington,Training Day,M
76,2003,29,Adrien Brody,The Pianist,M
77,2004,43,Sean Penn,Mystic River,M
78,2005,37,Jamie Foxx,Ray,M
79,2006,38,Philip Seymour Hoffman,Capote,M
80,2007,45,Forest Whitaker,The Last King of Scotland,M
81,2008,50,Daniel Day-Lewis,There Will Be Blood,M
82,2009,48,Sean Penn,Milk,M
83,2010,60,Jeff Bridges,Crazy Heart,M
84,2011,50,Colin Firth,The King's Speech,M
85,2012,39,Jean Dujardin,The Artist,M
86,2013,55,Daniel Day-Lewis,Lincoln,M
87,2014,44,Matthew McConaughey,Dallas Buyers Club,M
88,2015,33,Eddie Redmayne,The Theory of Everything,M
89,2016,41,Leonardo DiCaprio,The Revenant,M
90,2017,40,Casey Affleck,Manchester by the Sea,M